Date;SDCHFSP;SDDKKSP;SDEUOSP;SDGBPSP;SDHKDSP;SDJPYSP;SDKRWSP;SDUSDSP;ISSEKSP;SDCHFSP;SDDKKSP;SDEUOSP;SDGBPSP;SDHKDSP;SDJPYSP;SDKRWSP;SDUSDSP
2015-01-01;791.2327;127.8087;9.515;12.1388;1.007;6.5362;0.713;7.8117;0.5036;791.2327;127.8087;9.515;12.1388;1.007;6.5362;0.713;7.8117
2015-02-01;883.8501;125.5294;9.347;12.413;1.064;7.0086;0.749;8.2488;0.4769;883.8501;125.5294;9.347;12.413;1.064;7.0086;0.749;8.2488
2015-03-01;873.7798;125.1026;9.337;12.8429;1.076;6.9597;0.758;8.3432;0.4779;873.7798;125.1026;9.337;12.8429;1.076;6.9597;0.758;8.3432
2015-04-01;888.3318;124.1566;9.274;12.7883;1.113;7.1974;0.782;8.6279;0.4611;888.3318;124.1566;9.274;12.7883;1.113;7.1974;0.782;8.6279
2015-05-01;886.0679;124.1853;9.267;12.8353;1.073;6.9883;0.775;8.3179;0.4654;886.0679;124.1853;9.267;12.8353;1.073;6.9883;0.775;8.3179
2015-06-01;905.5554;125.4674;9.362;13.0914;1.106;6.9052;0.772;8.5743;0.4521;905.5554;125.4674;9.362;13.0914;1.106;6.9052;0.772;8.5743
2015-07-01;883.8779;123.645;9.224;13.0406;1.071;6.7691;0.741;8.3027;0.4543;883.8779;123.645;9.224;13.0406;1.071;6.7691;0.741;8.3027
2015-08-01;891.3882;126.8454;9.464;13.4799;1.112;6.9462;0.739;8.6193;0.4363;891.3882;126.8454;9.464;13.4799;1.112;6.9462;0.739;8.6193
2015-09-01;879.3186;127.7472;9.534;12.9808;1.088;7.0103;0.719;8.4349;0.4654;879.3186;127.7472;9.534;12.9808;1.088;7.0103;0.719;8.4349
2015-10-01;857.5771;125.3421;9.351;12.6833;1.082;6.9761;0.712;8.3844;0.4675;857.5771;125.3421;9.351;12.6833;1.082;6.9761;0.712;8.3844
2015-11-01;862.832;125.8565;9.387;13.1382;1.099;7.0642;0.747;8.5162;0.454;862.832;125.8565;9.387;13.1382;1.099;7.0642;0.747;8.5162
2015-12-01;845.74;123.3781;9.204;13.1242;1.121;7.0739;0.751;8.6938;0.4465;845.74;123.3781;9.204;13.1242;1.121;7.0739;0.751;8.6938
2016-01-01;842.8699;122.4168;9.135;12.3785;1.078;6.9346;0.713;8.3524;0.4622;842.8699;122.4168;9.135;12.3785;1.078;6.9346;0.713;8.3524
2016-02-01;838.3091;124.5175;9.292;12.2285;1.1;7.0699;0.713;8.5651;0.4626;838.3091;124.5175;9.292;12.2285;1.1;7.0699;0.713;8.5651
2016-03-01;859.0649;125.1697;9.336;11.9848;1.106;7.5953;0.698;8.5935;0.4533;859.0649;125.1697;9.336;11.9848;1.106;7.5953;0.698;8.5935
2016-04-01;846.1567;124.1673;9.252;11.6605;1.048;7.2413;0.708;8.126;0.4669;846.1567;124.1673;9.252;11.6605;1.048;7.2413;0.708;8.126
2016-05-01;835.3433;123.4644;9.188;11.7147;1.034;7.5365;0.705;8.0197;0.4686;835.3433;123.4644;9.188;11.7147;1.034;7.5365;0.705;8.0197
2016-06-01;838.7964;124.743;9.277;12.0519;1.072;7.5821;0.699;8.3322;0.4627;838.7964;124.743;9.277;12.0519;1.072;7.5821;0.699;8.3322
2016-07-01;867.084;126.3188;9.395;11.2575;1.092;8.2549;0.74;8.4706;0.4536;867.084;126.3188;9.395;11.2575;1.092;8.2549;0.74;8.4706
2016-08-01;883.0127;128.4506;9.555;11.326;1.103;8.3462;0.773;8.5556;0.4434;883.0127;128.4506;9.555;11.326;1.103;8.3462;0.773;8.5556
2016-09-01;871.281;128.5798;9.569;11.2889;1.108;8.3091;0.766;8.5931;0.4407;871.281;128.5798;9.569;11.2889;1.108;8.3091;0.766;8.5931
2016-10-01;881.2422;129.1791;9.619;11.0195;1.105;8.4577;0.778;8.5679;0.4373;881.2422;129.1791;9.619;11.0195;1.105;8.4577;0.778;8.5679
2016-11-01;910.1035;132.8172;9.879;11.0274;1.159;8.5559;0.789;8.9914;0.4267;910.1035;132.8172;9.879;11.0274;1.159;8.5559;0.789;8.9914
2016-12-01;909.5569;131.728;9.8;11.5854;1.191;8.0864;0.791;9.24;0.4158;909.5569;131.728;9.8;11.5854;1.191;8.0864;0.791;9.24
2017-01-01;892.1155;128.6155;9.561;11.2193;1.172;7.7519;0.755;9.0954;0.4227;892.1155;128.6155;9.561;11.2193;1.172;7.7519;0.755;9.0954
2017-02-01;882.0081;126.6947;9.422;10.9778;1.125;7.6979;0.757;8.7316;0.4316;882.0081;126.6947;9.422;10.9778;1.125;7.6979;0.757;8.7316
2017-03-01;896.7668;128.4138;9.545;11.2077;1.167;7.9808;0.792;9.0602;0.4013;896.7668;128.4138;9.545;11.2077;1.167;7.9808;0.792;9.0602
