Date;DJES50I;DKKFXIN;FTSE100;HNGKNGI;ISTA100;KORCOMP;SPCOMP;SWISSMI;TOKYOSE;SDTB30D;MSWRLD;SWEDOMX
2014-12-01;3232.91;757.73;6656.37;23367.45;1306.7;1965.22;2053.44;9146.18;1421.65;0.066;1729.888;1450.03
2015-01-01;3146.43;744.44;6566.09;23605.04;1288.01;1915.59;2058.9;8983.37;1407.51;0.08;1709.68;1464.55
2015-02-01;3370.113;806.44;6782.55;24484.74;1268.88;1952.68;2020.85;8429.2;1408.75;0.01;1694.348;1575.95
2015-03-01;3591.092;879.19;6940.64;24887.44;1360.23;1996.81;2117.39;9055.69;1524.97;-0.094;1776.646;1686.64
2015-04-01;3714.892;965.33;6809.5;25082.75;1421.12;2028.45;2059.69;9137.26;1528.99;-0.25;1738.15;1669.49
2015-05-01;3615.586;963.77;6985.95;28133;1423.7;2127.17;2108.29;9077.12;1585.61;-0.269;1787.401;1628.04
2015-06-01;3575.038;989.39;6953.58;27597.16;1467.74;2102.37;2111.73;9267.44;1678.56;-0.276;1778.285;1649.59
2015-07-01;3496.28;960.33;6608.59;26250.03;1440;2097.89;2077.42;8908.99;1636.41;-0.33;1747.177;1575.5
2015-08-01;3635.396;1032.6;6688.62;24411.42;1482.75;2008.49;2098.04;9468.97;1659.6;-0.41;1761.179;1618.28
2015-09-01;3188.73;922.58;6058.54;21185.43;1370.92;1914.23;1913.85;8621.27;1478.11;-0.454;1600.71;1469.86
2015-10-01;3069.049;927.33;6072.47;20846.3;1300.6;1979.32;1923.82;8510.56;1442.74;-0.55;1587.983;1404.45
2015-11-01;3434.497;946.49;6361.8;22370.04;1365.72;2035.24;2104.05;8936.08;1526.97;-0.436;1715.179;1502.44
2015-12-01;3479.641;1019.67;6395.65;22381.35;1355.17;2023.93;2102.63;8993.24;1601.95;-0.396;1710.118;1530.52
2016-01-01;3267.523;1014.17;6242.32;21914.4;1328.33;1961.31;2043.94;8818.09;1547.3;-0.535;1662.794;1446.82
2016-02-01;3021.013;974.11;6060.1;19595.5;1262.49;1924.82;1939.38;8310.99;1462.67;-0.522;1566.562;1342.43
2016-03-01;2996.386;961.4;6152.88;19407.46;1243.66;1916.66;1978.35;7962.22;1300.83;-0.65;1575.312;1391.45
2016-04-01;2953.275;950.52;6146.05;20498.92;1250.44;1973.57;2072.78;7688.34;1301.4;-0.64;1640.145;1358.22
2016-05-01;3032.599;951.56;6241.89;21067.05;1233.92;1978.15;2081.43;7977.77;1299.96;-0.68;1675.638;1352.91
2016-06-01;3038.765;1003.16;6191.93;20760.98;1252.34;1982.72;2099.33;8185.53;1362.07;-0.626;1672.857;1356.75
2016-07-01;2883.06;971.24;6577.83;20794.37;1224.58;1987.32;2102.95;8085.21;1254.44;-0.7;1660.264;1340.26
2016-08-01;2967.311;996.08;6693.95;22129.14;1275.68;2029.61;2170.84;8127.2;1321.83;-0.75;1717.666;1379.46
2016-09-01;3017.492;935.77;6745.97;23162.34;1267.03;2032.72;2170.86;8142.64;1337.38;-0.67;1723.548;1417.59
2016-10-01;2998.497;894.08;6983.52;23584.43;1261.79;2043.63;2161.2;8166.32;1330.72;-0.79;1722.824;1443.46
2016-11-01;3023.15;850.53;6917.14;23147.07;1225.36;2007.39;2111.72;7761.34;1393.19;-0.74;1683.956;1431.87
2016-12-01;3030.978;828.88;6752.93;22878.23;1258.89;1983.75;2191.08;7779.11;1483.27;-0.74;1708.641;1477.95
2017-01-01;3308.67;899.96;7142.83;22000.56;1280.42;2026.16;2238.83;8219.87;1518.61;-0.87;1753.092;1526.83
2017-02-01;3258.919;911.78;7107.65;23318.39;1254.11;2080.48;2279.55;8329.17;1527.77;-0.672;1793.389;1547.31
2017-03-01;3390.201;917.78;7382.9;23776.49;1284.33;2091.64;2395.96;8634.7;1553.09;-0.65;1856.342;1591.37
2017-04-01;3472.942;908.26;7282.69;24261.48;1252.13;2167.51;2358.84;8633.86;1517.03;-0.778;1848.972;1571.41
2017-05-01;3559.587;964.53;7203.94;24615.13;1265.22;2205.44;2388.33;8812.67;1539.77;-0.74;1882.487;1626.99
2017-06-01;3567.018;999.52;7543.77;25809.22;1294.46;2344.61;2430.06;9024.92;1586.14;-0.74;1923.1;1641.32
